transaction_id,sender_id,receiver_id,amount,timestamp
T0039,acc28,acc41,10566.9,2025-01-01 12:10:00
T0040,acc7,acc40,1658.96,2025-01-01 12:15:00
T0041,acc23,acc46,2310.84,2025-01-01 12:20:00
T0042,acc28,acc1,19913.79,2025-01-01 12:25:00
T0043,acc25,acc5,13709.91,2025-01-01 12:30:00
T0044,acc41,acc26,825.51,2025-01-01 12:35:00
T0045,acc21,acc17,23898.58,2025-01-01 12:40:00
T0046,acc3,acc49,14083.55,2025-01-01 12:45:00
T0047,acc27,acc23,692.43,2025-01-01 12:50:00
T0048,acc41,acc11,22108.62,2025-01-01 12:55:00
T0049,acc27,acc5,17971.18,2025-01-01 13:00:00
T0050,acc44,acc10,9365.53,2025-01-01 13:05:00
T0051,acc16,acc48,2051.57,2025-01-01 13:10:00
T0052,acc41,acc4,18975.77,2025-01-01 13:15:00
T0053,acc25,acc35,7723.48,2025-01-01 13:20:00
T0054,acc42,acc50,22904.0,2025-01-01 13:25:00
T0055,acc50,acc25,9275.36,2025-01-01 13:30:00
T0056,acc35,acc22,12975.88,2025-01-01 13:35:00
T0057,acc41,acc11,20076.69,2025-01-01 13:40:00
T0058,acc25,acc28,1645.19,2025-01-01 13:45:00
T0059,acc9,acc30,16744.33,2025-01-01 13:50:00
T0060,acc23,acc29,21789.82,2025-01-01 13:55:00
T0061,acc48,acc47,24512.93,2025-01-01 14:00:00
T0062,acc43,acc29,7664.76,2025-01-01 14:05:00
T0063,acc50,acc2,4048.58,2025-01-01 14:10:00
T0064,acc21,acc34,12916.51,2025-01-01 14:15:00
T0065,acc9,acc22,12553.05,2025-01-01 14:20:00
T0066,acc35,acc47,9288.11,2025-01-01 14:25:00
T0067,acc37,acc22,2412.14,2025-01-01 14:30:00
T0068,acc33,acc16,5161.47,2025-01-01 14:35:00
T0069,acc21,acc17,10014.44,2025-01-01 14:40:00
T0070,acc33,acc6,23907.55,2025-01-01 14:45:00
T0071,acc33,acc13,18977.07,2025-01-01 14:50:00
T0072,acc2,acc13,6779.42,2025-01-01 14:55:00
T0073,acc15,acc6,15042.54,2025-01-01 15:00:00
T0074,acc6,acc22,13907.91,2025-01-01 15:05:00
T0075,acc9,acc35,3472.61,2025-01-01 15:10:00
T0076,acc31,acc32,18290.95,2025-01-01 15:15:00
T0077,acc50,acc2,6495.61,2025-01-01 15:20:00
T0078,acc37,acc32,8578.99,2025-01-01 15:25:00
T0079,acc15,acc33,23131.48,2025-01-01 15:30:00
T0080,acc40,acc41,248.42,2025-01-01 15:35:00
T0081,acc39,acc32,8650.52,2025-01-01 15:40:00
T0082,acc38,acc8,17312.61,2025-01-01 15:45:00
T0083,acc24,acc30,9109.84,2025-01-01 15:50:00
T0084,acc43,acc27,7956.11,2025-01-01 15:55:00
T0085,acc14,acc50,11281.27,2025-01-01 16:00:00
T0086,acc49,acc13,20529.91,2025-01-01 16:05:00
T0087,acc12,acc25,24433.04,2025-01-01 16:10:00
T0088,acc4,acc27,9445.84,2025-01-01 16:15:00
T0089,acc17,acc12,21422.65,2025-01-01 16:20:00
T0090,acc25,acc24,1822.06,2025-01-01 16:25:00
T0091,acc19,acc8,22714.5,2025-01-01 16:30:00
T0092,acc33,acc39,8123.63,2025-01-01 16:35:00
T0093,acc25,acc4,14690.63,2025-01-01 16:40:00
T0094,acc20,acc7,11692.15,2025-01-01 16:45:00
T0095,acc49,acc46,8184.91,2025-01-01 16:50:00
T0096,acc42,acc29,6721.27,2025-01-01 16:55:00
T0097,acc29,acc37,14330.88,2025-01-01 17:00:00
T0098,acc16,acc45,11441.61,2025-01-01 17:05:00
T0099,acc37,acc18,8495.74,2025-01-01 17:10:00
T0100,acc4,acc12,3171.15,2025-01-01 17:15:00
T0101,acc28,acc43,12461.81,2025-01-01 17:20:00
T0102,acc9,acc31,13424.13,2025-01-01 17:25:00
T0103,acc31,acc35,3624.64,2025-01-01 17:30:00
T0104,acc24,acc15,14982.49,2025-01-01 17:35:00
T0105,acc3,acc30,12652.49,2025-01-01 17:40:00
T0106,acc39,acc50,23640.9,2025-01-01 17:45:00
T0107,acc46,acc38,22532.79,2025-01-01 17:50:00
T0108,acc1,acc21,18273.12,2025-01-01 17:55:00
T0109,acc15,acc45,22204.37,2025-01-01 18:00:00
T0110,acc17,acc19,4283.71,2025-01-01 18:05:00
T0111,acc27,acc23,10681.91,2025-01-01 18:10:00
T0112,acc39,acc1,12470.56,2025-01-01 18:15:00
T0113,acc11,acc13,1260.86,2025-01-01 18:20:00
T0114,acc34,acc11,19120.03,2025-01-01 18:25:00
T0115,acc34,acc13,7638.54,2025-01-01 18:30:00
T0116,acc30,acc15,7132.93,2025-01-01 18:35:00
T0117,acc6,acc7,11123.54,2025-01-01 18:40:00
T0118,acc35,acc36,7054.55,2025-01-01 18:45:00
T0119,acc13,acc34,23528.17,2025-01-01 18:50:00
T0120,acc5,acc41,23490.87,2025-01-01 18:55:00
T0121,acc27,acc29,2862.61,2025-01-01 19:00:00
T0122,acc37,acc28,19066.24,2025-01-01 19:05:00
T0123,acc28,acc34,8976.01,2025-01-01 19:10:00
T0124,acc32,acc9,4942.05,2025-01-01 19:15:00
T0125,acc14,acc16,24312.7,2025-01-01 19:20:00
T0126,acc16,acc14,1928.65,2025-01-01 19:25:00
T0127,acc2,acc1,10364.36,2025-01-01 19:30:00
T0128,acc21,acc36,845.75,2025-01-01 19:35:00
T0129,acc16,acc47,22180.27,2025-01-01 19:40:00
T0130,acc28,acc45,7355.44,2025-01-01 19:45:00
T0131,acc12,acc20,2906.72,2025-01-01 19:50:00
T0132,acc43,acc42,20562.74,2025-01-01 19:55:00
T0133,acc14,acc33,746.56,2025-01-01 20:00:00
T0134,acc24,acc10,11700.8,2025-01-01 20:05:00
T0135,acc27,acc15,12812.78,2025-01-01 20:10:00
T0136,acc28,acc26,14056.09,2025-01-01 20:15:00
T0137,acc25,acc5,24593.4,2025-01-01 20:20:00
T0138,acc32,acc3,7240.97,2025-01-01 20:25:00
T0139,acc31,acc47,18039.6,2025-01-01 20:30:00
T0140,acc7,acc9,3137.91,2025-01-01 20:35:00
T0141,acc23,acc36,15403.78,2025-01-01 20:40:00
T0142,acc29,acc34,8889.85,2025-01-01 20:45:00
T0143,acc24,acc14,9825.6,2025-01-01 20:50:00
T0144,acc4,acc7,12762.15,2025-01-01 20:55:00
T0145,acc49,acc7,14861.3,2025-01-01 21:00:00
T0146,acc21,acc48,2160.98,2025-01-01 21:05:00
T0147,acc43,acc14,23984.72,2025-01-01 21:10:00
T0148,acc12,acc27,3241.06,2025-01-01 21:15:00
T0149,acc31,acc9,21298.79,2025-01-01 21:20:00
T0150,acc1,acc11,19741.96,2025-01-01 21:25:00
T0151,acc6,acc22,904.05,2025-01-01 21:30:00
T0152,acc10,acc15,11494.4,2025-01-01 21:35:00
T0153,acc13,acc43,10176.18,2025-01-01 21:40:00
T0154,acc4,acc10,2948.22,2025-01-01 21:45:00
T0155,acc45,acc6,3444.81,2025-01-01 21:50:00
T0156,acc3,acc23,11042.91,2025-01-01 21:55:00
T0157,acc14,acc16,5954.81,2025-01-01 22:00:00
T0158,acc28,acc22,16822.49,2025-01-01 22:05:00
T0159,acc6,acc44,337.58,2025-01-01 22:10:00
T0160,acc21,acc43,10077.72,2025-01-01 22:15:00
T0161,acc15,acc4,1543.08,2025-01-01 22:20:00
T0162,acc5,acc8,23126.96,2025-01-01 22:25:00
T0163,acc19,acc16,3215.35,2025-01-01 22:30:00
T0164,acc1,acc39,22377.03,2025-01-01 22:35:00
T0165,acc42,acc35,6655.24,2025-01-01 22:40:00
T0166,acc27,acc36,9256.85,2025-01-01 22:45:00
T0167,acc41,acc9,21177.93,2025-01-01 22:50:00
T0168,acc3,acc39,7304.29,2025-01-01 22:55:00
T0169,acc21,acc45,21057.07,2025-01-01 23:00:00
T0170,acc23,acc33,18995.41,2025-01-01 23:05:00
T0171,acc42,acc19,2089.13,2025-01-01 23:10:00
T0172,acc47,acc12,15289.24,2025-01-01 23:15:00
T0173,acc29,acc7,18362.46,2025-01-01 23:20:00
T0174,acc48,acc35,5048.26,2025-01-01 23:25:00
T0175,acc41,acc44,1858.15,2025-01-01 23:30:00
T0176,acc14,acc47,9020.85,2025-01-01 23:35:00
T0177,acc50,acc31,7154.16,2025-01-01 23:40:00
T0178,acc36,acc35,4167.56,2025-01-01 23:45:00
T0179,acc2,acc17,18245.15,2025-01-01 23:50:00
T0180,acc49,acc41,16844.4,2025-01-01 23:55:00
T0181,acc50,acc13,9201.45,2025-01-02 00:00:00
T0182,acc7,acc9,24997.84,2025-01-02 00:05:00
T0183,acc39,acc7,6834.21,2025-01-02 00:10:00
T0184,acc5,acc24,1513.85,2025-01-02 00:15:00
T0185,acc17,acc24,3339.27,2025-01-02 00:20:00
T0186,acc27,acc6,15564.85,2025-01-02 00:25:00
T0187,acc34,acc36,21615.71,2025-01-02 00:30:00
T0188,acc43,acc35,3111.74,2025-01-02 00:35:00
T0189,acc22,acc19,20001.26,2025-01-02 00:40:00
T0190,acc41,acc49,24574.54,2025-01-02 00:45:00
T0191,acc20,acc29,23922.98,2025-01-02 00:50:00
T0192,acc1,acc6,20986.28,2025-01-02 00:55:00
T0193,acc40,acc7,23314.15,2025-01-02 01:00:00
T0194,acc29,acc25,20458.66,2025-01-02 01:05:00
T0195,acc23,acc44,4589.34,2025-01-02 01:10:00
T0196,acc9,acc25,108.68,2025-01-02 01:15:00
T0197,acc14,acc16,22902.52,2025-01-02 01:20:00
T0198,acc27,acc9,20093.25,2025-01-02 01:25:00
T0199,acc6,acc12,13449.57,2025-01-02 01:30:00
T0200,acc27,acc11,19457.07,2025-01-02 01:35:00
T0201,acc25,acc20,1716.47,2025-01-02 01:40:00
T0202,acc2,acc8,19801.72,2025-01-02 01:45:00
T0203,acc26,acc18,14253.73,2025-01-02 01:50:00
T0204,acc41,acc44,13635.57,2025-01-02 01:55:00
T0205,acc13,acc20,7854.01,2025-01-02 02:00:00
T0206,acc36,acc43,8521.63,2025-01-02 02:05:00
T0207,acc2,acc43,3717.14,2025-01-02 02:10:00
T0208,acc19,acc13,10731.7,2025-01-02 02:15:00
T0209,acc32,acc3,10625.78,2025-01-02 02:20:00
T0210,acc10,acc11,16685.22,2025-01-02 02:25:00
T0211,acc36,acc15,22448.1,2025-01-02 02:30:00
T0212,acc5,acc29,14499.43,2025-01-02 02:35:00
T0213,acc13,acc26,14276.67,2025-01-02 02:40:00
T0214,acc28,acc46,13416.49,2025-01-02 02:45:00
T0215,acc24,acc5,23626.39,2025-01-02 02:50:00
T0216,acc14,acc6,11039.03,2025-01-02 02:55:00
T0217,acc35,acc20,17562.53,2025-01-02 03:00:00
T0218,acc14,acc44,987.33,2025-01-02 03:05:00
T0219,acc42,acc34,2555.43,2025-01-02 03:10:00
T0220,acc46,acc4,20952.51,2025-01-02 03:15:00
T0221,acc47,acc31,15420.09,2025-01-02 03:20:00
T0222,acc22,acc43,4642.77,2025-01-02 03:25:00
T0223,acc43,acc26,24359.09,2025-01-02 03:30:00
T0224,acc43,acc44,2687.92,2025-01-02 03:35:00
T0225,acc3,acc14,3890.69,2025-01-02 03:40:00
T0226,acc42,acc9,19573.22,2025-01-02 03:45:00
T0227,acc43,acc38,7618.87,2025-01-02 03:50:00
T0228,acc33,acc27,17674.2,2025-01-02 03:55:00
T0229,acc19,acc27,21130.24,2025-01-02 04:00:00
T0230,acc35,acc34,21144.64,2025-01-02 04:05:00
T0231,acc36,acc6,24784.05,2025-01-02 04:10:00
T0232,acc1,acc38,15137.29,2025-01-02 04:15:00
T0233,acc10,acc34,18996.4,2025-01-02 04:20:00
T0234,acc43,acc39,2618.16,2025-01-02 04:25:00
T0235,acc42,acc16,15710.33,2025-01-02 04:30:00
T0236,acc36,acc31,833.33,2025-01-02 04:35:00
T0237,acc19,acc49,11688.44,2025-01-02 04:40:00
T0238,acc42,acc48,7176.99,2025-01-02 04:45:00
T0239,acc35,acc49,14110.59,2025-01-02 04:50:00
T0240,acc38,acc42,19673.8,2025-01-02 04:55:00
T0241,acc22,acc13,4312.65,2025-01-02 05:00:00
T0242,acc24,acc4,14689.6,2025-01-02 05:05:00
T0243,acc32,acc24,18883.55,2025-01-02 05:10:00
T0244,acc43,acc12,22616.53,2025-01-02 05:15:00
T0245,acc43,acc40,1913.65,2025-01-02 05:20:00
T0246,acc37,acc25,24385.0,2025-01-02 05:25:00
T0247,acc33,acc44,17849.1,2025-01-02 05:30:00
T0248,acc49,acc32,23335.13,2025-01-02 05:35:00
T0249,acc49,acc15,22002.07,2025-01-02 05:40:00
T0250,acc34,acc32,8447.67,2025-01-02 05:45:00
T0251,acc39,acc41,21119.93,2025-01-02 05:50:00
T0252,acc49,acc42,24255.14,2025-01-02 05:55:00
T0253,acc22,acc44,12074.12,2025-01-02 06:00:00
T0254,acc16,acc7,18247.02,2025-01-02 06:05:00
T0255,acc4,acc45,12942.75,2025-01-02 06:10:00
T0256,acc50,acc10,9288.47,2025-01-02 06:15:00
T0257,acc3,acc9,3764.54,2025-01-02 06:20:00
T0258,acc42,acc11,17168.02,2025-01-02 06:25:00
T0259,acc26,acc48,20250.38,2025-01-02 06:30:00
T0260,acc50,acc36,22031.15,2025-01-02 06:35:00
T0261,acc33,acc42,4647.92,2025-01-02 06:40:00
T0262,acc32,acc33,16748.32,2025-01-02 06:45:00
T0263,acc31,acc10,6989.59,2025-01-02 06:50:00
T0264,acc44,acc33,15997.64,2025-01-02 06:55:00
T0265,acc15,acc5,10729.24,2025-01-02 07:00:00
T0266,acc31,acc26,8032.64,2025-01-02 07:05:00
T0267,acc41,acc28,21633.28,2025-01-02 07:10:00
T0268,acc45,acc6,24509.44,2025-01-02 07:15:00
T0269,acc29,acc30,460.25,2025-01-02 07:20:00
T0270,acc3,acc46,24298.31,2025-01-02 07:25:00
T0271,acc24,acc21,19479.96,2025-01-02 07:30:00
T0272,acc45,acc36,17404.12,2025-01-02 07:35:00
T0273,acc36,acc31,18264.31,2025-01-02 07:40:00
T0274,acc38,acc45,8594.71,2025-01-02 07:45:00
T0275,acc15,acc3,4697.89,2025-01-02 07:50:00
T0276,acc42,acc29,5138.09,2025-01-02 07:55:00
T0277,acc44,acc31,10771.33,2025-01-02 08:00:00
T0278,acc1,acc23,23656.89,2025-01-02 08:05:00
T0279,acc9,acc18,23866.63,2025-01-02 08:10:00
T0280,acc23,acc35,7837.93,2025-01-02 08:15:00
T0281,acc5,acc23,5225.09,2025-01-02 08:20:00
T0282,acc4,acc8,14004.31,2025-01-02 08:25:00
T0283,acc34,acc1,15038.64,2025-01-02 08:30:00
T0284,acc33,acc27,10052.28,2025-01-02 08:35:00
T0285,acc32,acc5,19984.38,2025-01-02 08:40:00
T0286,acc12,acc23,5799.24,2025-01-02 08:45:00
T0287,acc45,acc27,18454.04,2025-01-02 08:50:00
T0288,acc8,acc26,1923.8,2025-01-02 08:55:00
T0289,acc33,acc25,2652.56,2025-01-02 09:00:00
T0290,acc17,acc6,17341.16,2025-01-02 09:05:00
T0291,acc24,acc12,4831.53,2025-01-02 09:10:00
T0292,acc5,acc28,20471.11,2025-01-02 09:15:00
T0293,acc42,acc29,23234.41,2025-01-02 09:20:00
T0294,acc28,acc29,17894.32,2025-01-02 09:25:00
T0295,acc27,acc4,2438.56,2025-01-02 09:30:00
T0296,acc20,acc33,9875.21,2025-01-02 09:35:00
T0297,acc47,acc22,9257.73,2025-01-02 09:40:00
T0298,acc5,acc22,15181.7,2025-01-02 09:45:00
T0299,acc8,acc2,11165.38,2025-01-02 09:50:00
T0300,acc33,acc21,920.95,2025-01-02 09:55:00
T0301,acc14,acc19,7970.34,2025-01-02 10:00:00
T0302,acc19,acc10,8062.81,2025-01-02 10:05:00
T0303,acc31,acc24,5737.13,2025-01-02 10:10:00
T0304,acc49,acc3,15429.28,2025-01-02 10:15:00
T0305,acc10,acc14,8321.37,2025-01-02 10:20:00
T0306,acc45,acc31,13997.02,2025-01-02 10:25:00
T0307,acc20,acc50,4150.24,2025-01-02 10:30:00
T0308,acc30,acc31,19743.53,2025-01-02 10:35:00
T0309,acc31,acc41,11228.48,2025-01-02 10:40:00
T0310,acc18,acc28,18019.96,2025-01-02 10:45:00
T0311,acc19,acc6,16317.46,2025-01-02 10:50:00
T0312,acc30,acc7,22671.1,2025-01-02 10:55:00
T0313,acc40,acc21,9630.95,2025-01-02 11:00:00
T0314,acc37,acc40,13306.77,2025-01-02 11:05:00
T0315,acc15,acc50,1528.31,2025-01-02 11:10:00
T0316,acc45,acc27,19769.61,2025-01-02 11:15:00
T0317,acc29,acc44,15276.9,2025-01-02 11:20:00
T0318,acc39,acc16,19449.19,2025-01-02 11:25:00
T0319,acc12,acc34,6012.36,2025-01-02 11:30:00
T0320,acc45,acc27,20219.24,2025-01-02 11:35:00
T0321,acc6,acc38,9700.91,2025-01-02 11:40:00
T0322,acc5,acc24,11698.17,2025-01-02 11:45:00
T0323,acc41,acc9,24713.28,2025-01-02 11:50:00
T0324,acc23,acc45,14738.88,2025-01-02 11:55:00
T0325,acc9,acc20,10457.23,2025-01-02 12:00:00
T0326,acc11,acc30,6778.85,2025-01-02 12:05:00
T0327,acc15,acc40,20430.49,2025-01-02 12:10:00
T0328,acc19,acc13,14743.22,2025-01-02 12:15:00
T0329,acc4,acc49,21695.36,2025-01-02 12:20:00
T0330,acc50,acc13,15316.71,2025-01-02 12:25:00
T0331,acc2,acc12,4045.7,2025-01-02 12:30:00
T0332,acc22,acc40,16678.67,2025-01-02 12:35:00
T0333,acc11,acc21,1083.88,2025-01-02 12:40:00
T0334,acc16,acc3,8751.0,2025-01-02 12:45:00
T0335,acc6,acc12,22828.43,2025-01-02 12:50:00
T0336,acc28,acc12,2453.14,2025-01-02 12:55:00
T0337,acc36,acc34,1363.05,2025-01-02 13:00:00
T0338,acc43,acc16,16396.17,2025-01-02 13:05:00
T0339,acc27,acc10,6014.06,2025-01-02 13:10:00
T0340,acc20,acc11,11319.07,2025-01-02 13:15:00
T0341,acc9,acc38,9282.93,2025-01-02 13:20:00
T0342,acc26,acc2,15425.55,2025-01-02 13:25:00
T0343,acc20,acc28,10853.63,2025-01-02 13:30:00
T0344,acc39,acc11,22869.21,2025-01-02 13:35:00
T0345,acc10,acc13,5797.79,2025-01-02 13:40:00
T0346,acc48,acc44,19786.2,2025-01-02 13:45:00
T0347,acc33,acc10,24734.91,2025-01-02 13:50:00
T0348,acc38,acc45,23598.21,2025-01-02 13:55:00
T0349,acc13,acc11,13282.9,2025-01-02 14:00:00
T0350,acc15,acc32,22414.36,2025-01-02 14:05:00
T0351,acc8,acc7,7635.98,2025-01-02 14:10:00
T0352,acc12,acc45,506.14,2025-01-02 14:15:00
T0353,acc47,acc50,15713.44,2025-01-02 14:20:00
T0354,acc43,acc26,5859.43,2025-01-02 14:25:00
T0355,acc41,acc15,19843.53,2025-01-02 14:30:00
T0356,acc28,acc46,24878.81,2025-01-02 14:35:00
T0357,acc5,acc18,6362.33,2025-01-02 14:40:00
T0358,acc20,acc18,5978.14,2025-01-02 14:45:00
T0359,acc10,acc40,5187.32,2025-01-02 14:50:00
T0360,acc13,acc1,16538.25,2025-01-02 14:55:00
T0361,acc6,acc27,12872.12,2025-01-02 15:00:00
T0362,acc32,acc5,4719.28,2025-01-02 15:05:00
T0363,acc21,acc33,1893.77,2025-01-02 15:10:00
T0364,acc35,acc20,2486.56,2025-01-02 15:15:00
T0365,acc29,acc41,707.56,2025-01-02 15:20:00
T0366,acc17,acc22,3268.52,2025-01-02 15:25:00
T0367,acc48,acc47,11747.45,2025-01-02 15:30:00
T0368,acc20,acc8,17444.63,2025-01-02 15:35:00
T0369,acc31,acc23,9381.39,2025-01-02 15:40:00
T0370,acc8,acc15,24365.68,2025-01-02 15:45:00
T0371,acc45,acc17,6758.21,2025-01-02 15:50:00
T0372,acc34,acc6,2677.07,2025-01-02 15:55:00
T0373,acc42,acc46,8734.18,2025-01-02 16:00:00
T0374,acc29,acc25,3849.47,2025-01-02 16:05:00
T0375,acc16,acc12,16251.16,2025-01-02 16:10:00
T0376,acc22,acc14,18056.06,2025-01-02 16:15:00
T0377,acc49,acc10,20418.49,2025-01-02 16:20:00
T0378,acc44,acc36,6171.89,2025-01-02 16:25:00
T0379,acc28,acc24,9502.2,2025-01-02 16:30:00
T0380,acc17,acc37,9219.27,2025-01-02 16:35:00
T0381,acc50,acc26,13411.0,2025-01-02 16:40:00
T0382,acc28,acc44,16342.44,2025-01-02 16:45:00
T0383,acc46,acc15,24595.55,2025-01-02 16:50:00
T0384,acc15,acc44,14985.37,2025-01-02 16:55:00
T0385,acc10,acc39,8662.82,2025-01-02 17:00:00
T0386,acc46,acc40,8076.02,2025-01-02 17:05:00
T0387,acc46,acc1,16349.52,2025-01-02 17:10:00
T0388,acc22,acc30,24562.57,2025-01-02 17:15:00
T0389,acc4,acc16,669.04,2025-01-02 17:20:00
T0390,acc9,acc18,4640.29,2025-01-02 17:25:00
T0391,acc12,acc43,19268.37,2025-01-02 17:30:00
T0392,acc11,acc16,13314.18,2025-01-02 17:35:00
T0393,acc12,acc42,6985.07,2025-01-02 17:40:00
T0394,acc26,acc36,11912.87,2025-01-02 17:45:00
T0395,acc25,acc37,10542.58,2025-01-02 17:50:00
T0396,acc45,acc43,8193.79,2025-01-02 17:55:00
T0397,acc9,acc5,5881.47,2025-01-02 18:00:00
T0398,acc50,acc29,24991.24,2025-01-02 18:05:00
T0399,acc20,acc6,22722.73,2025-01-02 18:10:00
T0400,acc11,acc27,7016.42,2025-01-02 18:15:00
T0401,acc50,acc30,13632.17,2025-01-02 18:20:00
T0402,acc31,acc40,1102.96,2025-01-02 18:25:00
T0403,acc16,acc10,11661.16,2025-01-02 18:30:00
T0404,acc28,acc15,2663.11,2025-01-02 18:35:00
T0405,acc32,acc3,22746.85,2025-01-02 18:40:00
T0406,acc40,acc24,24422.3,2025-01-02 18:45:00
T0407,acc9,acc13,5630.65,2025-01-02 18:50:00
T0408,acc45,acc5,1902.83,2025-01-02 18:55:00
T0409,acc35,acc33,12059.0,2025-01-02 19:00:00
T0410,acc41,acc32,7347.41,2025-01-02 19:05:00
T0411,acc13,acc21,20035.97,2025-01-02 19:10:00
T0412,acc41,acc42,5050.33,2025-01-02 19:15:00
T0413,acc40,acc14,20680.89,2025-01-02 19:20:00
T0414,acc3,acc43,16973.13,2025-01-02 19:25:00
T0415,acc13,acc41,21622.57,2025-01-02 19:30:00
T0416,acc18,acc31,7244.72,2025-01-02 19:35:00
T0417,acc35,acc26,8086.62,2025-01-02 19:40:00
T0418,acc16,acc10,2017.06,2025-01-02 19:45:00
T0419,acc24,acc41,5892.32,2025-01-02 19:50:00
T0420,acc24,acc7,15461.86,2025-01-02 19:55:00
T0421,acc4,acc46,18809.11,2025-01-02 20:00:00
T0422,acc24,acc40,18970.88,2025-01-02 20:05:00
T0423,acc37,acc3,16238.37,2025-01-02 20:10:00
T0424,acc26,acc47,19361.56,2025-01-02 20:15:00
T0425,acc22,acc42,2746.64,2025-01-02 20:20:00
T0426,acc41,acc13,20606.04,2025-01-02 20:25:00
T0427,acc20,acc42,10357.4,2025-01-02 20:30:00
T0428,acc29,acc38,15679.77,2025-01-02 20:35:00
T0429,acc13,acc38,8331.29,2025-01-02 20:40:00
T0430,acc31,acc38,17564.59,2025-01-02 20:45:00
T0431,acc44,acc17,22780.15,2025-01-02 20:50:00
T0432,acc32,acc24,12782.56,2025-01-02 20:55:00
T0433,acc24,acc11,11485.81,2025-01-02 21:00:00
T0434,acc34,acc5,16180.25,2025-01-02 21:05:00
T0435,acc10,acc41,10928.81,2025-01-02 21:10:00
T0436,acc4,acc43,9079.34,2025-01-02 21:15:00
T0437,acc44,acc32,16137.24,2025-01-02 21:20:00
T0438,acc14,acc22,726.17,2025-01-02 21:25:00
T0439,acc42,acc15,4361.79,2025-01-02 21:30:00
T0440,acc40,acc9,6626.22,2025-01-02 21:35:00
T0441,acc28,acc9,22973.69,2025-01-02 21:40:00
T0442,acc33,acc25,9525.31,2025-01-02 21:45:00
T0443,acc13,acc1,1689.8,2025-01-02 21:50:00
T0444,acc41,acc38,24133.1,2025-01-02 21:55:00
T0445,acc39,acc15,23902.45,2025-01-02 22:00:00
T0446,acc43,acc11,6247.09,2025-01-02 22:05:00
T0447,acc32,acc22,8503.2,2025-01-02 22:10:00
T0448,acc44,acc26,9993.01,2025-01-02 22:15:00
T0449,acc5,acc35,24380.09,2025-01-02 22:20:00
T0450,acc42,acc50,9568.77,2025-01-02 22:25:00
T0451,acc45,acc12,21008.0,2025-01-02 22:30:00
T0452,acc28,acc12,8249.54,2025-01-02 22:35:00
T0453,acc23,acc35,18133.55,2025-01-02 22:40:00
T0454,acc38,acc44,1031.46,2025-01-02 22:45:00
T0455,acc49,acc28,16015.76,2025-01-02 22:50:00
T0456,acc50,acc30,24579.0,2025-01-02 22:55:00
T0457,acc46,acc8,559.21,2025-01-02 23:00:00
T0458,acc2,acc40,23365.85,2025-01-02 23:05:00
T0459,acc4,acc26,1660.85,2025-01-02 23:10:00
T0460,acc46,acc7,3395.42,2025-01-02 23:15:00
T0461,acc42,acc13,22023.63,2025-01-02 23:20:00
T0462,acc16,acc13,18814.78,2025-01-02 23:25:00
T0463,acc29,acc2,1002.59,2025-01-02 23:30:00
T0464,acc33,acc14,11977.66,2025-01-02 23:35:00
T0465,acc36,acc9,17339.44,2025-01-02 23:40:00
